"VfxAsset","AssetLastModified","RefCount","Scenes","Prefabs","LastRefFileModified"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_ExplosiveSmoke.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_ExplosiveSmokeGround Big Alt.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_ExplosiveSmokeGround Big.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_ExplosiveSmokeGround Small.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_ExplosiveSmokeGround.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Explosions\WFX_Nuke.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\Black Smoke\WFX_Fire SmallFlame (Black Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\Black Smoke\WFX_GazFire (Black Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\Gray Smoke\WFX_Fire Natural (Gray Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\Gray Smoke\WFX_Fire Natural Circle (Gray Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\Gray Smoke\WFX_GazFireBig (Gray Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\No Smoke\WFX_Fire Natural Broad (No Smoke).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\WFX_FlameThrower Big Alt.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\WFX_FlameThrower Big.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\WFX_FlameThrower.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Fire\WFX_GazFireBig (Blue).prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\FPS\WFX_MF FPS RIFLE1.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\FPS\WFX_MF FPS RIFLE2.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\FPS\WFX_MF FPS RIFLE3.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\Sprites\WFX_MF Spr RIFLE1.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\Sprites\WFX_MF Spr RIFLE2.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\MuzzleFlashes\Sprites\WFX_MF Spr RIFLE3.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\Color Variants\WFX_SmokeGrenade AlphaBlend Green.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\Color Variants\WFX_SmokeGrenade Blue.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\WFX_SmokeGrenade AlphaBlend Black.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\WFX_SmokeGrenade AlphaBlend Gray.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\WFX_SmokeGrenade Black.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\WFX_SmokeGrenade Gray.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\JMO Assets\WarFX\_Effects\Smoke\WFX_SmokeGrenade White.prefab","2026-03-31 10:28","1","Assets\prefabs\JMO Assets\WarFX\Demo\WarFX Demo New.unity","","2026-03-31 10:28"
"Assets\prefabs\Magic VFX\Magic VFX - Ice (FREE)\Prefabs\Ef_IceMagicGlowFree01.prefab","2026-03-31 10:28","1","Assets\prefabs\Magic VFX\Magic VFX - Ice (FREE)\Scene\Scene_Demo_01.unity","","2026-03-31 10:28"
"Assets\prefabs\msVFX_Free Smoke Effects Pack\Prefabs\msVFX_Stylized Smoke 1.prefab","2026-03-31 10:28","4","Assets\prefabs\msVFX_Free Smoke Effects Pack\Demo\DemoScene.unity; Assets\Scenes\SampleScene.unity","Assets\prefabs\msVFX_Free Smoke Effects Pack\Prefabs\msVFX_Stylized Smoke 2.prefab; Assets\Scripts\CHARACTER\WaterBlobPlayer.prefab","2026-03-31 10:32"
"Assets\prefabs\msVFX_Free Smoke Effects Pack\Prefabs\msVFX_Stylized Smoke 2.prefab","2026-03-31 10:28","3","Assets\prefabs\msVFX_Free Smoke Effects Pack\Demo\DemoScene.unity; Assets\Scenes\SampleScene.unity","Assets\Scripts\CHARACTER\WaterBlobPlayer.prefab","2026-03-31 10:32"
"Assets\prefabs\msVFX_Free Smoke Effects Pack\Prefabs\msVFX_Stylized Smoke 3.prefab","2026-03-31 10:28","1","Assets\prefabs\msVFX_Free Smoke Effects Pack\Demo\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\msVFX_Free Smoke Effects Pack\Prefabs\msVFX_Stylized Smoke 4.prefab","2026-03-31 10:28","1","Assets\prefabs\msVFX_Free Smoke Effects Pack\Demo\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Bubble_Explosion.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Bubbles_Burst.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Bubbles_Vertical_Loop.prefab","2026-03-31 10:28","2","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity; Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Hit_01.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Hit_02.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Ball_Explosion.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Beam.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Explosion.prefab","2026-03-31 10:28","2","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity; Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Impact.prefab","2026-03-31 10:28","2","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity; Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Splash_A.prefab","2026-03-31 10:28","2","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity; Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Splash_B.prefab","2026-03-31 10:28","2","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity; Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\NamuFX\StylizedWaterEffects\Prefabs\Water_Splash_Multiple.prefab","2026-03-31 10:28","1","Assets\prefabs\NamuFX\StylizedWaterEffects\Scene\DemoScene.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\BlueGlow.prefab","2026-03-31 10:28","1","Assets\Scenes\SampleScene.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\DarkBlue Glow.prefab","2026-03-31 10:28","1","Assets\prefabs\Toon Crystals pack\DemoScene\Demo.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\Fel Glow.prefab","2026-03-31 10:28","1","Assets\prefabs\Toon Crystals pack\DemoScene\Demo.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\Green Glow.prefab","2026-03-31 10:28","1","Assets\prefabs\Toon Crystals pack\DemoScene\Demo.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\PurpGlow.prefab","2026-03-31 10:28","1","Assets\prefabs\Toon Crystals pack\DemoScene\Demo.unity","","2026-03-31 10:28"
"Assets\prefabs\Toon Crystals pack\Particles\RedGlow.prefab","2026-03-31 10:28","1","Assets\prefabs\Toon Crystals pack\DemoScene\Demo.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\BigExplosionEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\FlamesEffects.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\FlameThrowerEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\PlasmaExplosionEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\SmallExplosionEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\SmokeEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\FireExplosionEffects\Prefabs\TorchEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\Misc Effects\Prefabs\DustMotesEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\Misc Effects\Prefabs\ElectricalSparksEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\Misc Effects\Prefabs\SandSwirlsEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\Misc Effects\Prefabs\SparksEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\Shared\Prefabs\Extinguish.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WaterEffects\Prefabs\RainEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WaterEffects\Prefabs\StormCloudEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WaterEffects\Prefabs\WaterDripEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WaterEffects\Prefabs\WaterfallSmallEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactFleshBigEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactFleshSmallEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactMetalEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactSandEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactStoneEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactWaterContainerEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactWaterContainerExtinguisherEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\BulletImpactWoodEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\CartridgeEjectEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\MuzzleFlashEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
"Assets\prefabs\UnityTechnologies\EffectExamples\WeaponEffects\Prefabs\RocketTrailEffect.prefab","2026-03-31 10:28","1","Assets\prefabs\UnityTechnologies\EffectExamples\Scenes\Menu.unity","","2026-03-31 10:28"
